cons_standings_ID,race_ID,constructor_ID,cumul_points,cumul_position
5089,244,15,4,5
5090,244,31,0,11
5091,244,17,2,6
5092,244,18,0,9
5093,244,29,0,10
5094,245,22,48,1
5095,245,3,38,3
5096,245,6,41,2
5097,245,1,8,5
5098,245,25,0,9
5099,245,27,4,6
5100,245,30,0,12
5101,245,28,0,13
5102,245,15,4,7
5103,245,31,0,11
5104,245,17,12,4
5105,245,18,0,10
5106,245,29,1,8
5107,246,22,58,1
5108,246,3,48,2
5109,246,6,43,3
5110,246,1,8,5
5111,246,25,0,9
5112,246,27,7,6
5113,246,30,0,12
5114,246,28,0,13
5115,246,15,4,7
5116,246,31,0,11
5117,246,17,13,4
5118,246,18,0,10
5119,246,29,1,8
5120,247,22,68,1
5121,247,3,52,2
5122,247,6,49,3
5123,247,1,10,6
5124,247,25,0,9
5125,247,27,10,5
5126,247,30,0,12
5127,247,28,0,13
5128,247,15,5,7
5129,247,31,0,11
5130,247,17,13,4
5131,247,18,0,10
5132,247,29,1,8
5133,248,22,81,1
5134,248,3,58,2
5135,248,6,53,3
5136,248,1,10,6
5137,248,25,0,9
5138,248,27,11,5
5139,248,30,0,11
5140,248,28,0,13
5141,248,15,7,7
5142,248,31,0,12
5143,248,17,13,4
5144,248,18,0,10
5145,248,29,1,8
5146,249,22,84,1
5147,249,3,74,2
5148,249,6,57,3
5149,249,1,10,6
5150,249,25,0,9
5151,249,27,12,5
5152,249,30,0,11
5153,249,28,0,13
5154,249,15,9,7
5155,249,31,0,12
5156,249,17,13,4
5157,249,18,0,10
5158,249,29,1,8
5159,250,22,94,1
5160,250,3,80,2
5161,250,6,57,3
5162,250,1,12,6
